bldg_id,Occurrence_Count,Unique_Source_Files
43420,6,"['res_667.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_1034.parquet']"
43928,2,"['res_943.parquet', 'res_1019.parquet']"
45673,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
47251,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
48461,7,"['res_564.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_871.parquet', 'res_1268.parquet']"
49875,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
51528,5,"['res_805.parquet', 'res_748.parquet', 'res_1019.parquet', 'res_1120.parquet', 'res_1234.parquet']"
52319,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
53919,2,"['res_1120.parquet', 'res_1019.parquet']"
55584,6,"['res_667.parquet', 'res_564.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1268.parquet']"
55945,2,"['res_1019.parquet', 'res_411.parquet']"
57337,5,"['res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1034.parquet']"
58221,4,"['res_943.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_577.parquet']"
58853,5,"['res_748.parquet', 'res_1019.parquet', 'res_1120.parquet', 'res_1234.parquet', 'res_943.parquet']"
60128,7,"['res_1066.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_414.parquet', 'res_1034.parquet']"
60601,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
63077,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
65427,5,"['res_1081.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_414.parquet']"
65460,8,"['res_564.parquet', 'res_907.parquet', 'res_763.parquet', 'res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_871.parquet', 'res_1268.parquet']"
66509,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
67563,3,"['res_1135.parquet', 'res_526.parquet', 'res_1019.parquet']"
70490,6,"['res_564.parquet', 'res_450.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
70569,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
76770,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
77364,7,"['res_667.parquet', 'res_564.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1268.parquet']"
78159,3,"['res_899.parquet', 'res_1120.parquet', 'res_1019.parquet']"
82589,3,"['res_943.parquet', 'res_1019.parquet', 'res_165.parquet']"
83085,3,"['res_943.parquet', 'res_1019.parquet', 'res_577.parquet']"
85242,7,"['res_450.parquet', 'res_1081.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_1034.parquet']"
86292,5,"['res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_1034.parquet']"
87154,5,"['res_748.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_1234.parquet', 'res_943.parquet']"
90783,7,"['res_450.parquet', 'res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_1034.parquet']"
92056,6,"['res_450.parquet', 'res_907.parquet', 'res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_356.parquet']"
92187,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
93344,6,"['res_907.parquet', 'res_763.parquet', 'res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_356.parquet']"
93433,4,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet', 'res_165.parquet']"
95700,4,"['res_298.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_1034.parquet']"
97308,7,"['res_667.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1120.parquet', 'res_1034.parquet']"
98459,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
101513,4,"['res_298.parquet', 'res_1120.parquet', 'res_1019.parquet', 'res_1034.parquet']"
102983,7,"['res_667.parquet', 'res_564.parquet', 'res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1268.parquet']"
107410,6,"['res_564.parquet', 'res_450.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
